Score,Text,Tokens,Preprocessed_Text
5,i dont know if its the cactus or the tequila or just the unique combination of ingredients but the flavour of this hot sauce makes it one of a kind we picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away when we realized that we simply couldnt find it anywhere in our city we were bummednow because of the magic of the internet we have a case of the sauce and are ecstatic because of itif you love hot saucei mean really love hot sauce but dont want a sauce that tastelessly burns your throat grab a bottle of tequila picante gourmet de inclan just realize that once you taste it you will never want to use any other saucethank you for the personal incredible service,"['i', 'dont', 'know', 'if', 'it', 'the', 'cactus', 'or', 'the', 'tequila', 'or', 'just', 'the', 'unique', 'combination', 'of', 'ingredient', 'but', 'the', 'flavour', 'of', 'this', 'hot', 'sauce', 'make', 'it', 'one', 'of', 'a', 'kind', 'we', 'picked', 'up', 'a', 'bottle', 'once', 'on', 'a', 'trip', 'we', 'were', 'on', 'and', 'brought', 'it', 'back', 'home', 'with', 'u', 'and', 'were', 'totally', 'blown', 'away', 'when', 'we', 'realized', 'that', 'we', 'simply', 'couldnt', 'find', 'it', 'anywhere', 'in', 'our', 'city', 'we', 'were', 'bummednow', 'because', 'of', 'the', 'magic', 'of', 'the', 'internet', 'we', 'have', 'a', 'case', 'of', 'the', 'sauce', 'and', 'are', 'ecstatic', 'because', 'of', 'itif', 'you', 'love', 'hot', 'saucei', 'mean', 'really', 'love', 'hot', 'sauce', 'but', 'dont', 'want', 'a', 'sauce', 'that', 'tastelessly', 'burn', 'your', 'throat', 'grab', 'a', 'bottle', 'of', 'tequila', 'picante', 'gourmet', 'de', 'inclan', 'just', 'realize', 'that', 'once', 'you', 'taste', 'it', 'you', 'will', 'never', 'want', 'to', 'use', 'any', 'other', 'saucethank', 'you', 'for', 'the', 'personal', 'incredible', 'service']",i dont know if it the cactus or the tequila or just the unique combination of ingredient but the flavour of this hot sauce make it one of a kind we picked up a bottle once on a trip we were on and brought it back home with u and were totally blown away when we realized that we simply couldnt find it anywhere in our city we were bummednow because of the magic of the internet we have a case of the sauce and are ecstatic because of itif you love hot saucei mean really love hot sauce but dont want a sauce that tastelessly burn your throat grab a bottle of tequila picante gourmet de inclan just realize that once you taste it you will never want to use any other saucethank you for the personal incredible service
5,one of my boys needed to lose some weight and the other didnt i put this food on the floor for the chubby guy and the proteinrich no byproduct food up higher where only my skinny boy can jump the higher food sits going stale they both really go for this food and my chubby boy has been losing about an ounce a week,"['one', 'of', 'my', 'boy', 'needed', 'to', 'lose', 'some', 'weight', 'and', 'the', 'other', 'didnt', 'i', 'put', 'this', 'food', 'on', 'the', 'floor', 'for', 'the', 'chubby', 'guy', 'and', 'the', 'proteinrich', 'no', 'byproduct', 'food', 'up', 'higher', 'where', 'only', 'my', 'skinny', 'boy', 'can', 'jump', 'the', 'higher', 'food', 'sits', 'going', 'stale', 'they', 'both', 'really', 'go', 'for', 'this', 'food', 'and', 'my', 'chubby', 'boy', 'ha', 'been', 'losing', 'about', 'an', 'ounce', 'a', 'week']",one of my boy needed to lose some weight and the other didnt i put this food on the floor for the chubby guy and the proteinrich no byproduct food up higher where only my skinny boy can jump the higher food sits going stale they both really go for this food and my chubby boy ha been losing about an ounce a week
1,my cats have been happily eating felidae platinum for more than two years i just got a new bag and the shape of the food is different they tried the new food when i first put it in their bowls and now the bowls sit full and the kitties will not touch the food ive noticed similar reviews related to formula changes in the past unfortunately i now need to find a new food that my cats will eat,"['my', 'cat', 'have', 'been', 'happily', 'eating', 'felidae', 'platinum', 'for', 'more', 'than', 'two', 'year', 'i', 'just', 'got', 'a', 'new', 'bag', 'and', 'the', 'shape', 'of', 'the', 'food', 'is', 'different', 'they', 'tried', 'the', 'new', 'food', 'when', 'i', 'first', 'put', 'it', 'in', 'their', 'bowl', 'and', 'now', 'the', 'bowl', 'sit', 'full', 'and', 'the', 'kitty', 'will', 'not', 'touch', 'the', 'food', 'ive', 'noticed', 'similar', 'review', 'related', 'to', 'formula', 'change', 'in', 'the', 'past', 'unfortunately', 'i', 'now', 'need', 'to', 'find', 'a', 'new', 'food', 'that', 'my', 'cat', 'will', 'eat']",my cat have been happily eating felidae platinum for more than two year i just got a new bag and the shape of the food is different they tried the new food when i first put it in their bowl and now the bowl sit full and the kitty will not touch the food ive noticed similar review related to formula change in the past unfortunately i now need to find a new food that my cat will eat
4,good flavor these came securely packed they were fresh and delicious i love these twizzlers,"['good', 'flavor', 'these', 'came', 'securely', 'packed', 'they', 'were', 'fresh', 'and', 'delicious', 'i', 'love', 'these', 'twizzlers']",good flavor these came securely packed they were fresh and delicious i love these twizzlers
5,the strawberry twizzlers are my guilty pleasure yummy six pounds will be around for a while with my son and i,"['the', 'strawberry', 'twizzlers', 'are', 'my', 'guilty', 'pleasure', 'yummy', 'six', 'pound', 'will', 'be', 'around', 'for', 'a', 'while', 'with', 'my', 'son', 'and', 'i']",the strawberry twizzlers are my guilty pleasure yummy six pound will be around for a while with my son and i
5,my daughter loves twizzlers and this shipment of six pounds really hit the spot its exactly what you would expectsix packages of strawberry twizzlers,"['my', 'daughter', 'love', 'twizzlers', 'and', 'this', 'shipment', 'of', 'six', 'pound', 'really', 'hit', 'the', 'spot', 'it', 'exactly', 'what', 'you', 'would', 'expectsix', 'package', 'of', 'strawberry', 'twizzlers']",my daughter love twizzlers and this shipment of six pound really hit the spot it exactly what you would expectsix package of strawberry twizzlers
2,i love eating them and they are good for watching tv and looking at movies it is not too sweet i like to transfer them to a zip lock baggie so they stay fresh so i can take my time eating them,"['i', 'love', 'eating', 'them', 'and', 'they', 'are', 'good', 'for', 'watching', 'tv', 'and', 'looking', 'at', 'movie', 'it', 'is', 'not', 'too', 'sweet', 'i', 'like', 'to', 'transfer', 'them', 'to', 'a', 'zip', 'lock', 'baggie', 'so', 'they', 'stay', 'fresh', 'so', 'i', 'can', 'take', 'my', 'time', 'eating', 'them']",i love eating them and they are good for watching tv and looking at movie it is not too sweet i like to transfer them to a zip lock baggie so they stay fresh so i can take my time eating them
5,i am very satisfied with my twizzler purchase i shared these with others and we have all enjoyed them i will definitely be ordering more,"['i', 'am', 'very', 'satisfied', 'with', 'my', 'twizzler', 'purchase', 'i', 'shared', 'these', 'with', 'others', 'and', 'we', 'have', 'all', 'enjoyed', 'them', 'i', 'will', 'definitely', 'be', 'ordering', 'more']",i am very satisfied with my twizzler purchase i shared these with others and we have all enjoyed them i will definitely be ordering more
5,twizzlers strawberry my childhood favorite candy made in lancaster pennsylvania by y s candies inc one of the oldest confectionery firms in the united states now a subsidiary of the hershey company the company was established in as young and smylie they also make apple licorice twists green color and blue raspberry licorice twists i like them alli keep it in a dry cool place because is not recommended it to put it in the fridge according to the guinness book of records the longest licorice twist ever made measured feet m and weighted pounds kg and was made by y s candies inc this recordbreaking twist became a guinness world record on july this product is kosher thank you,"['twizzlers', 'strawberry', 'my', 'childhood', 'favorite', 'candy', 'made', 'in', 'lancaster', 'pennsylvania', 'by', 'y', 's', 'candy', 'inc', 'one', 'of', 'the', 'oldest', 'confectionery', 'firm', 'in', 'the', 'united', 'state', 'now', 'a', 'subsidiary', 'of', 'the', 'hershey', 'company', 'the', 'company', 'wa', 'established', 'in', 'a', 'young', 'and', 'smylie', 'they', 'also', 'make', 'apple', 'licorice', 'twist', 'green', 'color', 'and', 'blue', 'raspberry', 'licorice', 'twist', 'i', 'like', 'them', 'alli', 'keep', 'it', 'in', 'a', 'dry', 'cool', 'place', 'because', 'is', 'not', 'recommended', 'it', 'to', 'put', 'it', 'in', 'the', 'fridge', 'according', 'to', 'the', 'guinness', 'book', 'of', 'record', 'the', 'longest', 'licorice', 'twist', 'ever', 'made', 'measured', 'foot', 'm', 'and', 'weighted', 'pound', 'kg', 'and', 'wa', 'made', 'by', 'y', 's', 'candy', 'inc', 'this', 'recordbreaking', 'twist', 'became', 'a', 'guinness', 'world', 'record', 'on', 'july', 'this', 'product', 'is', 'kosher', 'thank', 'you']",twizzlers strawberry my childhood favorite candy made in lancaster pennsylvania by y s candy inc one of the oldest confectionery firm in the united state now a subsidiary of the hershey company the company wa established in a young and smylie they also make apple licorice twist green color and blue raspberry licorice twist i like them alli keep it in a dry cool place because is not recommended it to put it in the fridge according to the guinness book of record the longest licorice twist ever made measured foot m and weighted pound kg and wa made by y s candy inc this recordbreaking twist became a guinness world record on july this product is kosher thank you
5,candy was delivered very fast and was purchased at a reasonable price i was home bound and unable to get to a store so this was perfect for me,"['candy', 'wa', 'delivered', 'very', 'fast', 'and', 'wa', 'purchased', 'at', 'a', 'reasonable', 'price', 'i', 'wa', 'home', 'bound', 'and', 'unable', 'to', 'get', 'to', 'a', 'store', 'so', 'this', 'wa', 'perfect', 'for', 'me']",candy wa delivered very fast and wa purchased at a reasonable price i wa home bound and unable to get to a store so this wa perfect for me
5,my husband is a twizzlers addict weve bought these many times from amazon because were government employees living overseas and cant get them in the country we are assigned to theyve always been fresh and tasty packed well and arrive in a timely manner,"['my', 'husband', 'is', 'a', 'twizzlers', 'addict', 'weve', 'bought', 'these', 'many', 'time', 'from', 'amazon', 'because', 'were', 'government', 'employee', 'living', 'overseas', 'and', 'cant', 'get', 'them', 'in', 'the', 'country', 'we', 'are', 'assigned', 'to', 'theyve', 'always', 'been', 'fresh', 'and', 'tasty', 'packed', 'well', 'and', 'arrive', 'in', 'a', 'timely', 'manner']",my husband is a twizzlers addict weve bought these many time from amazon because were government employee living overseas and cant get them in the country we are assigned to theyve always been fresh and tasty packed well and arrive in a timely manner
5,i bought these for my husband who is currently overseas he loves these and apparently his staff likes them alsothere are generous amounts of twizzlers in each ounce bag and this was well worth the price twizzlers strawberry ounce bags pack of,"['i', 'bought', 'these', 'for', 'my', 'husband', 'who', 'is', 'currently', 'overseas', 'he', 'love', 'these', 'and', 'apparently', 'his', 'staff', 'like', 'them', 'alsothere', 'are', 'generous', 'amount', 'of', 'twizzlers', 'in', 'each', 'ounce', 'bag', 'and', 'this', 'wa', 'well', 'worth', 'the', 'price', 'twizzlers', 'strawberry', 'ounce', 'bag', 'pack', 'of']",i bought these for my husband who is currently overseas he love these and apparently his staff like them alsothere are generous amount of twizzlers in each ounce bag and this wa well worth the price twizzlers strawberry ounce bag pack of
5,i can remember buying this candy as a kid and the quality hasnt dropped in all these years still a superb product you wont be disappointed with,"['i', 'can', 'remember', 'buying', 'this', 'candy', 'a', 'a', 'kid', 'and', 'the', 'quality', 'hasnt', 'dropped', 'in', 'all', 'these', 'year', 'still', 'a', 'superb', 'product', 'you', 'wont', 'be', 'disappointed', 'with']",i can remember buying this candy a a kid and the quality hasnt dropped in all these year still a superb product you wont be disappointed with
5,i love this candy after weight watchers i had to cut back but still have a craving for it,"['i', 'love', 'this', 'candy', 'after', 'weight', 'watcher', 'i', 'had', 'to', 'cut', 'back', 'but', 'still', 'have', 'a', 'craving', 'for', 'it']",i love this candy after weight watcher i had to cut back but still have a craving for it
5,i have lived out of the us for over yrs now and i so miss my twizzlers when i go back to visit or someone visits me i always stock up all i can say is yumsell these in mexico and you will have a faithful buyer more often than im able to buy them right now,"['i', 'have', 'lived', 'out', 'of', 'the', 'u', 'for', 'over', 'yr', 'now', 'and', 'i', 'so', 'miss', 'my', 'twizzlers', 'when', 'i', 'go', 'back', 'to', 'visit', 'or', 'someone', 'visit', 'me', 'i', 'always', 'stock', 'up', 'all', 'i', 'can', 'say', 'is', 'yumsell', 'these', 'in', 'mexico', 'and', 'you', 'will', 'have', 'a', 'faithful', 'buyer', 'more', 'often', 'than', 'im', 'able', 'to', 'buy', 'them', 'right', 'now']",i have lived out of the u for over yr now and i so miss my twizzlers when i go back to visit or someone visit me i always stock up all i can say is yumsell these in mexico and you will have a faithful buyer more often than im able to buy them right now
5,product received is as advertisedtwizzlers strawberry ounce bags pack of,"['product', 'received', 'is', 'a', 'advertisedtwizzlers', 'strawberry', 'ounce', 'bag', 'pack', 'of']",product received is a advertisedtwizzlers strawberry ounce bag pack of
1,the candy is just red no flavor just plan and chewy i would never buy them again,"['the', 'candy', 'is', 'just', 'red', 'no', 'flavor', 'just', 'plan', 'and', 'chewy', 'i', 'would', 'never', 'buy', 'them', 'again']",the candy is just red no flavor just plan and chewy i would never buy them again
4,i was so glad amazon carried these batteries i have a hard time finding them elsewhere because they are such a unique size i need them for my garage door openergreat deal for the price,"['i', 'wa', 'so', 'glad', 'amazon', 'carried', 'these', 'battery', 'i', 'have', 'a', 'hard', 'time', 'finding', 'them', 'elsewhere', 'because', 'they', 'are', 'such', 'a', 'unique', 'size', 'i', 'need', 'them', 'for', 'my', 'garage', 'door', 'openergreat', 'deal', 'for', 'the', 'price']",i wa so glad amazon carried these battery i have a hard time finding them elsewhere because they are such a unique size i need them for my garage door openergreat deal for the price
5,i got this for my mum who is not diabetic but needs to watch her sugar intake and my father who simply chooses to limit unnecessary sugar intake shes the one with the sweet tooth they both loved these toffees you would never guess that theyre sugarfree and its so great that you can eat them pretty much guilt free i was so impressed that ive ordered some for myself w dark chocolate to take to the office so ill eat them instead of snacking on sugary sweetsthese are just excellent,"['i', 'got', 'this', 'for', 'my', 'mum', 'who', 'is', 'not', 'diabetic', 'but', 'need', 'to', 'watch', 'her', 'sugar', 'intake', 'and', 'my', 'father', 'who', 'simply', 'chooses', 'to', 'limit', 'unnecessary', 'sugar', 'intake', 'shes', 'the', 'one', 'with', 'the', 'sweet', 'tooth', 'they', 'both', 'loved', 'these', 'toffee', 'you', 'would', 'never', 'guess', 'that', 'theyre', 'sugarfree', 'and', 'it', 'so', 'great', 'that', 'you', 'can', 'eat', 'them', 'pretty', 'much', 'guilt', 'free', 'i', 'wa', 'so', 'impressed', 'that', 'ive', 'ordered', 'some', 'for', 'myself', 'w', 'dark', 'chocolate', 'to', 'take', 'to', 'the', 'office', 'so', 'ill', 'eat', 'them', 'instead', 'of', 'snacking', 'on', 'sugary', 'sweetsthese', 'are', 'just', 'excellent']",i got this for my mum who is not diabetic but need to watch her sugar intake and my father who simply chooses to limit unnecessary sugar intake shes the one with the sweet tooth they both loved these toffee you would never guess that theyre sugarfree and it so great that you can eat them pretty much guilt free i wa so impressed that ive ordered some for myself w dark chocolate to take to the office so ill eat them instead of snacking on sugary sweetsthese are just excellent
5,i dont know if its the cactus or the tequila or just the unique combination of ingredients but the flavour of this hot sauce makes it one of a kind we picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away when we realized that we simply couldnt find it anywhere in our city we were bummednow because of the magic of the internet we have a case of the sauce and are ecstatic because of itif you love hot saucei mean really love hot sauce but dont want a sauce that tastelessly burns your throat grab a bottle of tequila picante gourmet de inclan just realize that once you taste it you will never want to use any other saucethank you for the personal incredible service,"['i', 'dont', 'know', 'if', 'it', 'the', 'cactus', 'or', 'the', 'tequila', 'or', 'just', 'the', 'unique', 'combination', 'of', 'ingredient', 'but', 'the', 'flavour', 'of', 'this', 'hot', 'sauce', 'make', 'it', 'one', 'of', 'a', 'kind', 'we', 'picked', 'up', 'a', 'bottle', 'once', 'on', 'a', 'trip', 'we', 'were', 'on', 'and', 'brought', 'it', 'back', 'home', 'with', 'u', 'and', 'were', 'totally', 'blown', 'away', 'when', 'we', 'realized', 'that', 'we', 'simply', 'couldnt', 'find', 'it', 'anywhere', 'in', 'our', 'city', 'we', 'were', 'bummednow', 'because', 'of', 'the', 'magic', 'of', 'the', 'internet', 'we', 'have', 'a', 'case', 'of', 'the', 'sauce', 'and', 'are', 'ecstatic', 'because', 'of', 'itif', 'you', 'love', 'hot', 'saucei', 'mean', 'really', 'love', 'hot', 'sauce', 'but', 'dont', 'want', 'a', 'sauce', 'that', 'tastelessly', 'burn', 'your', 'throat', 'grab', 'a', 'bottle', 'of', 'tequila', 'picante', 'gourmet', 'de', 'inclan', 'just', 'realize', 'that', 'once', 'you', 'taste', 'it', 'you', 'will', 'never', 'want', 'to', 'use', 'any', 'other', 'saucethank', 'you', 'for', 'the', 'personal', 'incredible', 'service']",i dont know if it the cactus or the tequila or just the unique combination of ingredient but the flavour of this hot sauce make it one of a kind we picked up a bottle once on a trip we were on and brought it back home with u and were totally blown away when we realized that we simply couldnt find it anywhere in our city we were bummednow because of the magic of the internet we have a case of the sauce and are ecstatic because of itif you love hot saucei mean really love hot sauce but dont want a sauce that tastelessly burn your throat grab a bottle of tequila picante gourmet de inclan just realize that once you taste it you will never want to use any other saucethank you for the personal incredible service
5,i have never been a huge coffee fan however my mother purchased this little machine and talked me into trying the latte macciato no coffee shop has a better one and i like most of the other products too as a usually noncoffee drinkerthe little dolche guesto machine is super easy to use and prepares a really good coffeelattecappuccinoetc in less than a minute if water is heated up i would recommend the dolce gusto to anyone too good for the price and iam getting one myself,"['i', 'have', 'never', 'been', 'a', 'huge', 'coffee', 'fan', 'however', 'my', 'mother', 'purchased', 'this', 'little', 'machine', 'and', 'talked', 'me', 'into', 'trying', 'the', 'latte', 'macciato', 'no', 'coffee', 'shop', 'ha', 'a', 'better', 'one', 'and', 'i', 'like', 'most', 'of', 'the', 'other', 'product', 'too', 'a', 'a', 'usually', 'noncoffee', 'drinkerthe', 'little', 'dolche', 'guesto', 'machine', 'is', 'super', 'easy', 'to', 'use', 'and', 'prepares', 'a', 'really', 'good', 'coffeelattecappuccinoetc', 'in', 'le', 'than', 'a', 'minute', 'if', 'water', 'is', 'heated', 'up', 'i', 'would', 'recommend', 'the', 'dolce', 'gusto', 'to', 'anyone', 'too', 'good', 'for', 'the', 'price', 'and', 'iam', 'getting', 'one', 'myself']",i have never been a huge coffee fan however my mother purchased this little machine and talked me into trying the latte macciato no coffee shop ha a better one and i like most of the other product too a a usually noncoffee drinkerthe little dolche guesto machine is super easy to use and prepares a really good coffeelattecappuccinoetc in le than a minute if water is heated up i would recommend the dolce gusto to anyone too good for the price and iam getting one myself
5,this offer is a great price and a great taste thanks amazon for selling this productstaral,"['this', 'offer', 'is', 'a', 'great', 'price', 'and', 'a', 'great', 'taste', 'thanks', 'amazon', 'for', 'selling', 'this', 'productstaral']",this offer is a great price and a great taste thanks amazon for selling this productstaral
